alias,team_id,full_name,confederation
Brazil,BRA,Brazil,CONMEBOL
Brasil,BRA,Brazil,CONMEBOL
Serbia,SRB,Serbia,UEFA
England,ENG,England,UEFA
Germany,GER,Germany,UEFA
Deutschland,GER,Germany,UEFA
Argentina,ARG,Argentina,CONMEBOL
Australia,AUS,Australia,AFC
Austria,AUT,Austria,UEFA
Belgium,BEL,Belgium,UEFA
Cameroon,CMR,Cameroon,CAF
Canada,CAN,Canada,CONCACAF
Chile,CHI,Chile,CONMEBOL
Colombia,COL,Colombia,CONMEBOL
Costa Rica,CRC,Costa Rica,CONCACAF
Croatia,CRO,Croatia,UEFA
Czech Republic,CZE,Czech Republic,UEFA
Czechia,CZE,Czechia,UEFA
Denmark,DEN,Denmark,UEFA
Ecuador,ECU,Ecuador,CONMEBOL
Egypt,EGY,Egypt,CAF
France,FRA,France,UEFA
Ghana,GHA,Ghana,CAF
Greece,GRE,Greece,UEFA
Hungary,HUN,Hungary,UEFA
Iceland,ISL,Iceland,UEFA
IR Iran,IRN,Iran,AFC
Iran,IRN,Iran,AFC
Italy,ITA,Italy,UEFA
Japan,JPN,Japan,AFC
Korea Republic,KOR,South Korea,AFC
South Korea,KOR,South Korea,AFC
Mexico,MEX,Mexico,CONCACAF
Morocco,MAR,Morocco,CAF
Netherlands,NED,Netherlands,UEFA
Nigeria,NGA,Nigeria,CAF
Norway,NOR,Norway,UEFA
Panama,PAN,Panama,CONCACAF
Paraguay,PAR,Paraguay,CONMEBOL
Peru,PER,Peru,CONMEBOL
Poland,POL,Poland,UEFA
Portugal,POR,Portugal,UEFA
Qatar,QAT,Qatar,AFC
Romania,ROU,Romania,UEFA
Russia,RUS,Russia,UEFA
Saudi Arabia,KSA,Saudi Arabia,AFC
Scotland,SCO,Scotland,UEFA
Senegal,SEN,Senegal,CAF
Slovakia,SVK,Slovakia,UEFA
Slovenia,SVN,Slovenia,UEFA
Spain,ESP,Spain,UEFA
Sweden,SWE,Sweden,UEFA
Switzerland,SUI,Switzerland,UEFA
Tunisia,TUN,Tunisia,CAF
Turkey,TUR,Turkey,UEFA
Ukraine,UKR,Ukraine,UEFA
United States,USA,United States,CONCACAF
Uruguay,URU,Uruguay,CONMEBOL
Wales,WAL,Wales,UEFA
Albania,ALB,Albania,UEFA
Georgia,GEO,Georgia,UEFA
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,UEFA
Bosnia-Herzegovina,BIH,Bosnia and Herzegovina,UEFA
Bosnia & Herz.,BIH,Bosnia and Herzegovina,UEFA
Honduras,HON,Honduras,CONCACAF
Algeria,ALG,Algeria,CAF
Côte d'Ivoire,CIV,Ivory Coast,CAF
Cote d'Ivoire,CIV,Ivory Coast,CAF
Ivory Coast,CIV,Ivory Coast,CAF
Northern Ireland,NIR,Northern Ireland,UEFA
Republic of Ireland,IRL,Republic of Ireland,UEFA
Ireland,IRL,Republic of Ireland,UEFA
North Macedonia,MKD,North Macedonia,UEFA
Macedonia,MKD,North Macedonia,UEFA
Finland,FIN,Finland,UEFA
Bolivia,BOL,Bolivia,CONMEBOL
Venezuela,VEN,Venezuela,CONMEBOL
Jamaica,JAM,Jamaica,CONCACAF
Haiti,HAI,Haiti,CONCACAF
Israel,ISR,Israel,UEFA
Montenegro,MNE,Montenegro,UEFA
Bulgaria,BUL,Bulgaria,UEFA
Latvia,LVA,Latvia,UEFA
